mes;dia;temperatura_media;temperatura_maxima;temperatura_minima;precipitacao_media
Janeiro;1;24;28;20;7.4
Janeiro;2;23;27;19;11.7
Janeiro;3;23;27;19;8.0
Janeiro;4;23;27;19;5.0
Janeiro;5;23;28;19;5.8
Janeiro;6;24;28;19;8.1
Janeiro;7;24;28;19;5.8
Janeiro;8;23;28;19;8.9
Janeiro;9;24;29;19;7.4
Janeiro;10;24;29;20;4.8
Janeiro;11;23;28;19;9.0
Janeiro;12;24;28;19;7.0
Janeiro;13;24;28;19;13.3
Janeiro;14;24;29;19;3.3
Janeiro;15;24;28;19;9.0
Janeiro;16;24;28;19;6.3
Janeiro;17;24;28;19;5.8
Janeiro;18;24;29;19;5.3
Janeiro;19;24;28;19;6.8
Janeiro;20;24;28;19;8.6
Janeiro;21;23;27;19;8.1
Janeiro;22;23;28;19;7.0
Janeiro;23;24;29;19;5.3
Janeiro;24;24;29;19;5.3
Janeiro;25;24;29;19;7.1
Janeiro;26;24;28;20;13.2
Janeiro;27;23;27;19;6.8
Janeiro;28;24;28;19;10.8
Janeiro;29;24;28;20;10.4
Janeiro;30;24;28;19;4.1
Janeiro;31;24;29;19;4.4
Fevereiro;1;24;29;19;6.7
Fevereiro;2;25;29;20;5.6
Fevereiro;3;24;29;20;4.0
Fevereiro;4;24;29;19;4.5
Fevereiro;5;24;29;19;5.6
Fevereiro;6;25;29;20;3.8
Fevereiro;7;24;29;19;4.3
Fevereiro;8;24;29;20;4.0
Fevereiro;9;24;29;20;2.5
Fevereiro;10;24;28;20;7.8
Fevereiro;11;24;29;20;5.6
Fevereiro;12;24;28;19;4.5
Fevereiro;13;24;28;19;6.6
Fevereiro;14;23;28;19;6.9
Fevereiro;15;24;28;19;8.1
Fevereiro;16;23;28;19;5.4
Fevereiro;17;24;28;19;5.5
Fevereiro;18;24;29;19;4.1
Fevereiro;19;24;29;19;5.9
Fevereiro;20;24;29;20;2.9
Fevereiro;21;25;29;20;6.9
Fevereiro;22;24;29;19;4.8
Fevereiro;23;24;29;20;4.5
Fevereiro;24;24;28;20;5.1
Fevereiro;25;24;28;20;7.0
Fevereiro;26;24;28;19;5.2
Fevereiro;27;24;28;19;6.0
Fevereiro;28;24;28;19;6.8
Fevereiro;29;23;27;18;2.8
Marco;1;24;28;19;7.8
Marco;2;24;29;19;4.5
Marco;3;24;28;19;3.7
Marco;4;24;28;19;3.8
Marco;5;24;29;19;2.9
Marco;6;24;28;19;6.6
Marco;7;24;28;19;4.6
Marco;8;24;28;19;4.7
Marco;9;24;29;19;2.7
Marco;10;24;29;19;5.4
Marco;11;24;28;19;4.6
Marco;12;24;28;19;5.8
Marco;13;23;28;19;5.6
Marco;14;23;28;19;3.5
Marco;15;23;28;18;5.0
Marco;16;23;28;19;3.2
Marco;17;23;27;19;2.2
Marco;18;23;27;18;4.2
Marco;19;23;27;19;3.8
Marco;20;23;28;18;3.7
Marco;21;23;27;18;9.9
Marco;22;22;26;18;3.8
Marco;23;22;27;18;2.2
Marco;24;23;27;18;4.2
Marco;25;23;27;18;4.9
Marco;26;23;27;18;4.8
